Alabama .......................,742444
Alaska .........................,132872
Arizona ......................,1110851
Arkansas ........................,496085
California ......................,6304266
Colorado .......................,910280
Connecticut .....................,531288
Delaware .......................,136293
District of Columbia ...........,87315
Florida ........................,2832424
Georgia ........................,1768642
Hawaii ...........................,180837
Idaho ........................,301186
Illinois .........................,2005153
Indiana ..........................,1054187
Iowa ............................,511850
Kansas ...........................,497088
Kentucky .........................,680978
Louisiana .......................,715135
Maine ...........................,180473
Maryland ........................,893684
Massachusetts ...................,964791
Michigan .....................,1516398
Minnesota ...................,884944
Mississippi .....................,478321
Missouri .........................,915472
Montana ........................,149474
Nebraska ........................,323766
Nevada ..........................,485785
New Hampshire ..................,179433
New Jersey .......................,1408102
New Mexico ...................,334345
New York ........................,2724663
North Carolina .................,1553513
North Dakota ....................,111920
Ohio .............................,1704399
Oklahoma ........................,695092
Oregon ...........................,608014
Pennsylvania .......................,1726809
Rhode Island .....................,142949
South Carolina ...................,777507
South Dakota ....................,137823
Tennessee .....................,1001967
Texas ..........................,5401341
Utah ...........................,668274
Vermont .........................,88028
Virginia .........................,1291462
Washington .......................,1110367
West Virginia ...................,272266
Wisconsin ......................,860753
Wyoming .........................,94258
Guam .....................,30112
Puerto Rico ...................,346096
U.S. Virgin Islands .......................,10868
