Alabama ....................,"8,030,225 "
Alaska ..................,"2,582,582 "
Arizona .....................,"10,530,826 "
Arkansas ..................,"5,622,673 "
California .................,"87,968,218 "
Colorado ....................,"10,632,736 "
Connecticut ...............,"11,573,665 "
Delaware ..................,"2,247,039 "
District of Columbia ........,"2,625,829 "
Florida ..................,"29,875,971 "
Georgia .................,"20,344,480 "
Hawaii .....................,"2,778,688 "
Idaho ........................,"2,560,406 "
Illinois .................,"34,588,140 "
Indiana ....................,"11,866,554 "
Iowa ........................,"6,809,987 "
Kansas .....................,"6,279,467 "
Kentucky .................,"7,878,382 "
Louisiana ...................,"8,983,530 "
Maine .....................,"2,838,337 "
Maryland ....................,"14,669,628 "
Massachusetts ..............,"17,909,571 "
Michigan .....................,"19,612,463 "
Minnesota ...................,"14,127,456 "
Mississippi .............,"4,673,532 "
Missouri .................,"11,189,561 "
Montana .....................,"1,908,339 "
Nebraska ....................,"4,844,039 "
Nevada ....................,"4,987,380 "
New Hampshire ..................,"3,082,887 "
New Jersey .................,"29,839,108 "
New Mexico .................,"3,901,217 "
New York ..................,"67,194,754 "
North Carolina ...........,"15,389,536 "
North Dakota ................,"1,824,684 "
Ohio .......................,"24,503,675 "
Oklahoma ....................,"6,228,822 "
Oregon ......................,"7,731,996 "
Pennsylvania ...............,"30,765,985 "
Rhode Island ..............,"2,591,928 "
South Carolina .............,"9,721,717 "
South Dakota .............,"1,571,670 "
Tennessee ...............,"10,418,228 "
Texas ....................,"64,601,315 "
Utah ....................,"5,813,157 "
Vermont ....................,"1,797,465 "
Virginia ....................,"16,798,809 "
Washington ..................,"16,007,632 "
West Virginia ...........,"3,487,741 "
Wisconsin ................,"11,876,059 "
Wyoming ...................,"1,913,258 "
Guam .......................,"361,502 "
Puerto Rico ................,"2,891,749 "
U.S. Virgin Islands ............,"172,940 "
