State,Total,"Elementary/ secondary current expenditures, total",Instruction,"Support services, total",Student support,Instructional staff,General administration,School administration,Operation and maintenance,Student transportation,Other support services,Food services,Enterprise operations,Current expenditures for other programs,Capital outlay,Interest on school debt
Alabama ....................,8030224.76,7097471.74,4049192.23,2563158.82,446175.48,298519.31,182443.29,442733.30,660053.85,366671.04,166562.55,485120.69,0.00,122765.24,637470.86,172516.93
Alaska ..................,2582582.39,2367707.37,1266041.63,1013893.72,183607.09,196525.25,33856.00,144766.41,283842.26,80673.06,90623.66,76819.62,10952.40,7958.54,169582.34,37334.15
Arizona .....................,10530825.99,8966684.25,4828965.49,3669285.56,687665.51,434553.10,173940.91,502905.32,1098094.05,371832.07,400294.60,467131.83,1301.38,92293.08,1220401.32,251447.33
Arkansas ..................,5622673.40,4936464.62,2769223.59,1898529.80,266939.52,415124.43,124842.78,258857.22,500433.75,181435.78,150896.32,263084.03,5627.21,30111.10,529540.07,126557.61
California .................,87968217.62,76663731.43,45442061.96,28155354.22,4598428.81,4880879.81,753774.69,5082338.62,7573196.84,1679132.91,3587602.53,2878380.51,187934.75,924522.87,7470798.43,2909164.90
Colorado ....................,10632735.50,8913931.11,4989814.18,3570697.83,502457.61,513143.01,144537.96,679278.57,814582.81,265301.33,651396.55,305495.65,47923.44,77652.84,1183120.02,458031.54
Connecticut ...............,11573664.89,10664567.10,6722927.64,3614923.06,684769.09,335451.63,239205.88,624117.76,915694.99,537460.21,278223.50,234505.85,92210.55,146120.98,641348.82,121627.99
Delaware ..................,2247039.46,2029228.90,1269552.80,691907.35,90649.99,37247.82,31894.85,128691.50,216675.52,100560.17,86187.52,67768.75,0.00,53792.79,141955.92,22061.85
District of Columbia ........,2625828.71,1936852.21,1039933.12,826686.05,86016.16,97240.68,141543.30,134949.71,190735.17,117259.11,58941.92,69428.74,804.30,39349.84,510486.86,139139.81
Florida ..................,29875971.32,26404134.67,16305281.11,8782010.42,1161081.36,1660734.05,242524.52,1470634.43,2548825.43,1017779.47,680431.15,1316843.14,0.00,566060.69,2292632.89,613143.06
