HHS Region/State/Territory,gte1_Tdap_pct,gte1_MenACWY,gte1_HPV_fem,gte2_HPV_fem,gte3_HPV_fem,gte1_HPV_m,gte2_HPV_m,gte3_HPV_m
Connecticut,93.7 (±3.0),93.5 (±3.1),70.9 (±8.2),64.3 (±8.7),55.2 (±9.1),65.3 (±7.8)***,58.2 (±8.1)***,42.0 (±8.3)***
Maine,87.7 (±4.0),77.7 (±5.3),66.0 (±8.3),53.9 (±8.7),44.1 (±8.6),65.8 (±7.9)***,58.7 (±8.3)***,46.7 (±8.4)***
Massachusetts,91.2 (±4.1),89.5 (±4.4),73.5 (±8.6),63.0 (±9.5),52.8 (±9.7),63.0 (±8.8),50.9 (±9.1),35.2 (±8.5)
New Hampshire,92.4 (±3.9),87.7 (±4.4),74.2 (±8.8),59.7 (±10.0),51.4 (±10.0),69.8 (±7.9)***,55.1 (±9.0),47.1 (±9.1)***
Rhode Island,97.1 (±1.6)***,97.7 (±1.5),87.9 (±4.9)***,77.9 (±6.7),68.0 (±7.4)***,80.6 (±5.8)***,66.6 (±7.1),58.1 (±7.4)***
Vermont,95.8 (±2.4),84.4 (±4.3),68.7 (±8.1),59.1 (±8.3),54.4 (±8.4),66.1 (±7.6)***,56.9 (±7.9)***,41.1 (±7.8)
New Jersey,87.2 (±4.4),95.7 (±2.4),69.0 (±7.8)***,56.3 (±8.6)***,45.0 (±8.8),50.9 (±8.8)***,41.4 (±8.7)***,30.9 (±8.3)
New York (NY),89.0 (±2.9),86.2 (±3.1)***,62.3 (±6.4),56.4 (±6.5),47.3 (±6.6),60.3 (±6.1)***,49.4 (±6.1)***,38.1 (±5.8)***
Delaware,88.7 (±3.8),87.5 (±4.1),67.6 (±8.4),60.9 (±8.9),52.8 (±9.1),62.9 (±7.6),53.2 (±8.0),43.0 (±8.0)
District of Columbia,81.3 (±5.0),90.9 (±3.4),76.5 (±7.7),67.5 (±8.7),58.8 (±9.2),73.0 (±7.8),57.6 (±8.9),40.9 (±8.7)
Maryland,86.5 (±4.5),87.3 (±4.4),66.0 (±9.0),61.7 (±9.1),43.7 (±9.3),55.0 (±9.4),46.6 (±9.5),31.3 (±8.9)
Pennsylvania (PA),91.7 (±2.7),94.7 (±2.1),62.2 (±7.7),56.4 (±7.7),47.8 (±7.7),55.9 (±7.1),48.2 (±7.1)***,38.3 (±6.9)***
Virginia,82.2 (±6.4)†††,66.8 (±7.7),61.2 (±11.1),43.9 (±11.4),38.5 (±11.0),40.1 (±10.6),32.0 (±9.9),25.7 (±9.3)
West Virginia,85.8 (±4.1)***,86.0 (±4.3),62.0 (±8.6),49.7 (±8.8),39.2 (±8.6),45.3 (±8.5),36.6 (±8.3),27.1 (±7.6)
Alabama,93.3 (±3.2),72.1 (±5.8),57.7 (±9.2),50.4 (±9.3),40.8 (±9.3),39.4 (±8.6)***,30.3 (±8.3)***,22.6 (±7.9)***
Florida,87.3 (±4.9),70.4 (±6.4),62.5 (±9.6),44.6 (±9.7),36.8 (±9.3),45.3 (±9.9),33.2 (±9.1),19.8 (±6.9)
Georgia,90.2 (±4.0),87.0 (±4.6)***,54.4 (±9.5),38.7 (±8.9)†††,32.3 (±8.4)†††,51.0 (±8.5),42.5 (±8.4)***,27.5 (±7.6)
Kentucky,84.0 (±4.7),79.0 (±5.2),57.4 (±8.6),42.7 (±8.7),36.2 (±8.5),34.8 (±8.2),25.2 (±7.5),17.1 (±6.1)
Mississippi,74.7 (±5.3),55.3 (±6.0)***,52.4 (±8.0),37.2 (±7.7),24.4 (±6.6),38.9 (±8.9)***,29.6 (±8.5)***,21.4 (±8.0)
North Carolina,93.4 (±3.0),78.5(±5.1),65.7 (±8.5),53.5 (±8.9),37.8 (±8.7)†††,48.0 (±8.6),40.3 (±8.5),29.8 (±8.0)
South Carolina,77.8 (±5.5),69.0(±5.9),53.7 (±9.0),43.3 (±9.0),34.3 (±8.5),35.1 (±8.3),26.4 (±7.7),21.0 (±7.5)
Tennessee,79.7 (±5.4),76.7(±5.6),59.7 (±8.7),46.7 (±9.0),38.9 (±8.8)***,38.2 (±8.9),26.0 (±8.1),16.0 (±6.7)
Illinois (IL),89.1 (±3.0),79.0 (±3.8),62.0 (±5.9),52.0 (±6.1),40.2 (±6.0),44.3 (±6.3),34.3 (±6.0),26.8 (±5.6)
Indiana,89.7 (±4.0),92.3 (±3.4),53.7 (±9.0),43.1 (±8.8),30.9 (±8.0)†††,43.2 (±9.0)***,34.3 (±8.6)***,27.5 (±8.1)***
Michigan,74.0 (±5.5),95.0 (±2.5),67.6 (±8.3),56.9 (±8.9),47.2 (±9.2),52.3 (±8.3),40.2 (±8.2),28.6 (±7.2)
Minnesota,90.4 (±3.9),83.6 (±4.8)***,65.5 (±8.8),51.3 (±8.9),44.5 (±8.8),57.1 (±8.7),36.2 (±8.3),22.4 (±6.6)
Ohio,86.7 (±5.1),76.1 (±6.0),61.0 (±9.9),47.8 (±9.9),37.8 (±9.4),43.7 (±9.0),32.0 (±8.1),21.0 (±6.7)
Wisconsin,88.0 (±4.1),81.6 (±4.6),60.5 (±8.7),53.2 (±8.9),47.3 (±8.9),46.4 (±8.1),42.1 (±8.1),33.5 (±7.8)
